iso3,country,year,suicide_male,suicide_female,le_male,le_female,unemployment,alcohol_lpc,urban_pct,gdp_pc,suicide_ratio_mf,le_gap_fm,log_gdp_pc,paternity_users
AUS,Australia,2021,19.52,6.73,81.3,85.4,5.116,,87.2353407632761,59465.535671364,2.900445765230312,4.1000000000000085,10.99315219129977,31.572478005439358
AUT,Austria,2021,23.56,5.75,78.8,83.7,6.459,,68.773601700253,45368.6434337368,4.097391304347826,4.900000000000006,10.72257647213907,15.573084876507354
BEL,Belgium,2021,26.25,10.69,79.4,84.3,6.248,,87.4305564090635,43140.9676652971,2.4555659494855004,4.8999999999999915,10.672228350505144,43.40214112497782
CHE,Switzerland,2021,18.92,9.2,81.8,85.8,5.013,,84.2006477608879,88661.2029776281,2.056521739130435,4.0,11.392577676644036,74.98884476373209
ESP,Spain,2021,13.12,4.47,80.3,86.2,14.781,,79.7846242983598,26705.3629138959,2.9351230425055927,5.900000000000006,10.192619682417382,71.4719600502341
EST,Estonia,2021,25.1,5.77,72.7,81.4,6.178,,70.1777274135822,21570.6658455268,4.350086655112652,8.700000000000003,9.979089607962248,74.6458710066305
FIN,Finland,2021,20.51,8.77,79.3,84.6,7.617,,73.3710215780329,45792.0454180872,2.3386545039908784,5.299999999999997,10.731865674190225,78.63047949348712
GBR,United Kingdom,2021,14.65,4.6,78.72,82.671,4.826,,82.9886431523641,46487.3424706549,3.1847826086956523,3.9510000000000076,10.746935349588808,29.010086583950727
IRL,Ireland,2021,12.59,4.58,80.4,84.2,6.364,,63.6774229356985,92781.2322150786,2.7489082969432315,3.799999999999997,11.437999659259562,43.827721169884235
ITA,Italy,2021,10.52,3.62,80.5,84.9,9.497,,69.4812507629394,32267.7091050201,2.9060773480662982,4.400000000000006,10.381822291048463,39.64032389837327
LTU,Lithuania,2021,36.73,9.16,69.5,78.8,7.112,,68.1912117004395,18569.7057246217,4.009825327510916,9.299999999999997,9.82928680740491,63.021860265752245
LUX,Luxembourg,2021,12.13,4.27,80.5,84.8,5.571,,94.5861743396533,110873.185245175,2.8407494145199066,4.299999999999997,11.61614235190341,78.01195814648729
LVA,Latvia,2021,27.5,4.63,68.2,78.0,7.513,,68.1808791463693,16070.1680032322,5.939524838012959,9.799999999999997,9.684719913140645,55.68312284730195
NLD,Netherlands,2021,15.45,7.62,79.7,83.0,4.209,,94.6294783220315,49780.8440526836,2.02755905511811,3.299999999999997,10.815385531436407,57.400482609882914
POL,Poland,2021,24.11,3.84,71.4,79.5,3.268,,59.8096513205543,16368.6239689025,6.278645833333333,8.099999999999994,9.70312160873207,55.875370651350934
SWE,Sweden,2021,18.92,8.7,81.3,84.9,8.722,,88.1741651958315,53997.1337068799,2.1747126436781614,3.6000000000000085,10.89668624463542,77.05031374985778
